consumer_num,connected_load (watts),total_energy_billed (kWh)
13859,2300,101.58
21649,1673,115.08
25649,2370,39.83
18456,1580,205
23135,15000,1525.42
3245,150,154.75
16560,475,21.67
7495,6053,155.17
22765,1900,201.67
26049,540,9.92
21980,140,178.83
15144,985,168.92
1598,150,199.92
6736,1250,172.83
24494,3530,428.75
25661,1100,89.25
21172,9006,196
18933,140,185.58
24965,7520,113.42
3761,150,136.67
1518,150,118.08
3957,300,325.5
18469,7000,13.92
1931,820,70.67
2863,1000,277.17
3447,1000,217
19175,4000,14.08
11074,450,197.33
9793,7286,569.67
12733,5000,337.08
12388,150,216.33
22,3150,333.08
21366,200,47.5
1195,150,197.75
14354,200,2.25
4454,680,264
16700,280,157.08
10260,2399,313.42
3646,1000,103.5
12788,3833,102
25500,4499,124.92
24932,4406,17.58
5653,3000,553.75
17944,3400,112.67
10635,6285,356.58
12298,150,213.17
19398,280,47.67
11974,300,294.67
19330,140,217.42
2478,150,189.33
14993,180,18.92
10561,180,17.5
358,5718,90.5
1490,150,293.42
5221,150,269.25
19140,1895,235.75
20159,300,39.5
23963,1100,22
23332,4399,149.5
19633,9127,165.83
24260,4393,591.58
20573,140,65.92
15084,2100,215.08
4971,600,74.42
12922,150,158.5
10068,280,211
9997,380,201.67
8186,450,91.67
23701,6386,296.17
19400,2640,32.92
7810,650,232.67
13449,2480,114.5
24823,1030,37
1244,150,331.42
6691,600,216.08
3589,2813,114.17
3182,4496,216.5
15080,240,472.67
19838,2675,503.67
15260,460,58.42
2142,150,261.75
6504,1000,0
18385,840,116.92
4176,950,48.75
14800,740,156.42
18243,600,235.92
17595,150,228.17
9673,280,0
4950,600,196
1031,1000,16.75
21592,200,218.08
24763,5426,65.92
20583,200,98
15336,4823,46.33
20652,200,111.75
12028,150,372
10762,2050,107.5
16816,1580,90.17
20878,900,152.08
9987,100,233.83
14941,6183,335.92
5054,1000,28.92
12195,1000,11.92
11543,1000,42
7161,450,140.83
15862,220,0.08
1926,150,311.08
892,150,179.42
5208,150,242.92
5055,450,165.17
14264,430,83.83
1986,9723,420.33
7706,650,5
7065,4000,507
26057,1350,11.17
17811,6075,14.75
22000,200,53.83
6668,3877,156.08
3142,150,132
16940,480,121
25665,1680,423.92
16747,5366,298.08
5966,650,1.42
24701,4378,268.25
11877,450,424
11028,450,95.08
23745,3770,116.42
22467,3750,221.75
15792,380,360.75
11550,3950,284.08
11080,1000,85.75
1730,150,146.08
13654,280,152.17
16152,7350,2102.33
3029,600,298.5
16786,400,183.25
7961,5000,170.33
17327,3818,218.58
11508,150,222.75
17242,2235,315.42
8097,450,77.42
22627,2810,64.17
21707,1820,133.67
385,150,247.5
22542,360,160.08
23635,240,71.58
3899,2683,13.58
5704,5740,122.67
14443,150,200.75
8554,7000,333.92
21835,4155,759.08
